via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros
Calle,5,Avenida,40,Avenida,42,Calle 5 entre Avenida 40 y Avenida 42,440,Reina,3.4
Calle,7,Avenida,36,Avenida,38,Calle 7 entre Avenida 36 y Avenida 38,430,Reina,3.3
Calle,7,Avenida,38,Avenida,40,Calle 7 entre Avenida 38 y Avenida 40,420,Reina,3.2
Calle,7,Avenida,40,Avenida,42,Calle 7 entre Avenida 40 y Avenida 42,410,Reina,3.1
Calle,7,Avenida,42,Avenida,44,Calle 7 entre Avenida 42 y Avenida 44,400,Reina,3
Calle,7,Avenida,44,Avenida,46,Calle 7 entre Avenida 44 y Avenida 46,390,Reina,2.9
Calle,7,Avenida,46,Avenida,48,Calle 7 entre Avenida 46 y Avenida 48,380,Reina,2.8
Calle,7,Avenida,48,Avenida,50,Calle 7 entre Avenida 48 y Avenida 50,380,Reina,2.8
Calle,7,Avenida,50,Avenida,52,Calle 7 entre Avenida 50 y Avenida 52,390,Reina,2.9
Calle,7A,Avenida,46,Avenida,48,Calle 7A entre Avenida 46 y Avenida 48,380,Reina,2.8
Calle,7A,Avenida,48,Avenida,50,Calle 7A entre Avenida 48 y Avenida 50,390,Reina,2.9
Calle,9,Avenida,34,Avenida,36,Calle 9 entre Avenida 34 y Avenida 36,420,Reina,3.2
Calle,9,Avenida,36,Avenida,38,Calle 9 entre Avenida 36 y Avenida 38,410,Reina,3.1
Calle,9,Avenida,38,Avenida,40,Calle 9 entre Avenida 38 y Avenida 40,400,Reina,3
Calle,9,Avenida,40,Avenida,42,Calle 9 entre Avenida 40 y Avenida 42,390,Reina,2.9
Calle,9,Avenida,42,Avenida,44,Calle 9 entre Avenida 42 y Avenida 44,380,Reina,2.8
Calle,9,Avenida,44,Avenida,46,Calle 9 entre Avenida 44 y Avenida 46,370,Reina,2.7
Calle,9,Avenida,50,Avenida,52,Calle 9 entre Avenida 50 y Avenida 52,370,Reina,2.7
Calle,9,Avenida,52,Avenida,54,Calle 9 entre Avenida 52 y Avenida 54,380,Reina,2.8
Calle,9,Avenida,54,Avenida,56,Calle 9 entre Avenida 54 y Avenida 56,390,Reina,2.9
Calle,9,Avenida,56,Avenida,58,Calle 9 entre Avenida 56 y Avenida 58,400,Reina,3
Calle,9A,Avenida,46,Avenida,48,Calle 9A entre Avenida 46 y Avenida 48,360,Reina,2.6
Calle,9A,Avenida,48,Avenida,50,Calle 9A entre Avenida 48 y Avenida 50,360,Reina,2.6
Calle,9A,Avenida,52,Avenida,54,Calle 9A entre Avenida 52 y Avenida 54,390,Reina,2.9
