source_row,source_title,image_file,product_name,product_price,score,gap,status
10,05 Carrito Truck Pc   - 7500.00,fila_010_Carrito_Truck_Pc_-_750000.jpeg,Carrito Truck Pc,7500.0,1.2,0.375,READY
133,19 Sopas 300,fila_133_Sopas_300.jpeg,Sopas,300.0,1.2,0.585,READY
188,50 Bocinas 12000.00,fila_188_Bocinas_1200000.jpeg,Bocinas,12000.0,1.2,0.667,READY
117,176 Ketchut 1500,fila_117_Ketchut_1500.jpeg,Ketchut,1500.0,1.2,0.692,READY
176,39 Lampara de Piso 36400.00,fila_176_Lampara_de_Piso_3640000.jpeg,Lampara de Piso - 36400,36400.0,1.153,0.2,READY
37,10 Tipo Crocs-Zapitos Gris 8000.00,fila_037_Tipo_Crocs-Zapitos_Gris_800000.jpeg,Tipo Crocs-Zapitos Gris,8000.0,1.2,0.106,READY
74,131 Biskiato Miniun 300.00,fila_074_Biskiato_Miniun_30000.jpeg,Biskiato Miniun,300.0,1.2,0.655,READY
230,99 Paparicas 1500,fila_230_Paparicas_1500.jpeg,Paparicass,1500.0,1.267,0.067,READY
44,106 Intimas A+ 800.00,fila_044_Intimas_A_80000.jpeg,Intimas A+,800.0,1.2,0.556,READY
218,85 Galletas Kreme 600,fila_218_Galletas_Kreme_600.jpeg,Galletas Kreme,600.0,1.2,0.185,READY
8,03 Luncheras 3 Niveles - 7500.00,fila_008_Luncheras_3_Niveles_-_750000.jpeg,Luncheras 3 Niveles,7500.0,1.2,0.636,READY
35,10 Tipo Crocs Infantil Verde 7500.00,fila_035_Tipo_Crocs_Infantil_Verde_750000.jpeg,Tipo Crocs Infantil Verde,7500.0,1.2,0.184,READY
185,47 Lampara Mesa 13500.00,fila_185_Lampara_Mesa_1350000.jpeg,Lampara Mesa,13500.0,1.2,0.473,READY
46,109 Chicharos Verdes partidos 1200,fila_046_Chicharos_Verdes_partidos_1200.jpeg,Chicharos Verdes partidos,1200.0,1.2,0.551,READY
161,23 Olla Arrocera 26 000,fila_161_Olla_Arrocera_26_000.jpeg,Olla Arrocera,26000.0,1.2,0.459,READY
30,10 Chancletas 2 Cintas 5500,fila_030_Chancletas_2_Cintas_5500.jpeg,Chancletas 2 Cintas,5500.0,1.2,0.053,READY
38,10 Tipo Crocs-Zapitos Rojos 8000.00,fila_038_Tipo_Crocs-Zapitos_Rojos_800000.jpeg,Tipo Crocs-Zapitos Rojos,8000.0,1.2,0.106,READY
183,45 Lampara de Mesa -43700.00,fila_183_Lampara_de_Mesa_-4370000.jpeg,Lampara de Mesa - 43700,43700.0,1.153,0.2,READY
75,134 Jamonilla Res 1500,fila_075_Jamonilla_Res_1500.jpeg,Jamonilla Res,1500.0,1.2,0.49,READY
203,67 Crema Xtree Care 2500.00,fila_203_Crema_Xtree_Care_250000.jpeg,Crema Xtree Care,2500.0,1.2,0.379,READY
81,14 Adsorbentes a Color 1200,fila_081_Adsorbentes_a_Color_1200.jpeg,Adsorbentes a Color,1200.0,1.2,0.561,READY
103,161 Cafe El Dorado 4500,fila_103_Cafe_El_Dorado_4500.jpeg,Cafe El Dorado,4500.0,1.2,0.51,READY
79,138 Lata Atun 800,fila_079_Lata_Atun_800.jpeg,Lata Atun,800.0,1.2,0.343,READY
221,88 Croissant,fila_221_Croissant.jpeg,Aromatizante,2500.0,0.571,0.038,NOT_IMPORTED_OR_REVIEW
25,0Jgo Vasos Desechables,fila_025_Jgo_Vasos_Desechables.jpeg,Juego de Sartenes,13500.0,0.526,0.037,NOT_IMPORTED_OR_REVIEW
73,130 Galleta Pow Patrol 400,fila_073_Galleta_Pow_Patrol_400.jpeg,Galleta Pow Patrol,400.0,1.2,0.555,READY
113,172 Salsa Soja 1500.00,fila_113_Salsa_Soja_150000.jpeg,Salsa Soja,1500.0,1.2,0.565,READY
53,115 Sal 1300.00,fila_053_Sal_130000.jpeg,Sal,1300.0,1.2,0.48,READY
45,107 Diaria Alotof 750.00,fila_045_Diaria_Alotof_75000.jpeg,Diaria Alotof,750.0,1.2,0.667,READY
228,97 Sorbeto Rancheiro 500,fila_228_Sorbeto_Rancheiro_500.jpeg,Sorbeto Rancheiro,500.0,1.2,0.555,READY
115,174 Salsa Rosa Rayan 1300,fila_115_Salsa_Rosa_Rayan_1300.jpeg,Salsa Rosa Rayan,1300.0,1.2,0.564,READY
11,05 Carrito TurnOver - 7500.00,fila_011_Carrito_TurnOver_-_750000.jpeg,Carrito TurnOver,7500.0,1.2,0.375,READY
69,127 Marie Biscuit Wishfor,fila_069_Marie_Biscuit_Wishfor.jpeg,Marie Biscuet,600.0,0.706,0.273,NOT_IMPORTED_OR_REVIEW
50,112 Frijoñes Negros 1100,fila_050_Frijo#U00f1es_Negros_1100.jpeg,Frijoñes Negros,1100.0,1.2,0.533,READY
23,0Congelador Horizontal,fila_023_Congelador_Horizontal.jpeg,Crocs Original,12500.0,0.514,0.014,NOT_IMPORTED_OR_REVIEW
3,0 Ventiladores 20 Pared,fila_003_Ventiladores_20_Pared.jpeg,Ventiladores de Pie,18.0,0.8,0.189,REVIEW
184,46 Lampara de Mesa -38500.00,fila_184_Lampara_de_Mesa_-3850000.jpeg,Lampara de Mesa - 38500,38500.0,1.153,0.2,READY
160,22 Cintas Colores Anchas Medianas y Finas - 3000.00 a 2100.00,fila_160_Cintas_Colores_Anchas_Medianas_y_Finas_-_300000_a_210000.jpeg,Cargadores C176 -C,3000.0,0.527,0.047,REVIEW
92,150 Leche Condensada 850,fila_092_Leche_Condensada_850.jpeg,Leche Condensada,850.0,1.2,0.557,READY
231,99 Paparicass 1500,fila_231_Paparicass_1500.jpeg,Paparicas,1500.0,1.267,0.067,READY
34,10 Tipo Crocs Infantil Azul 7500.00,fila_034_Tipo_Crocs_Infantil_Azul_750000.jpeg,Tipo Crocs Infantil Azul,7500.0,1.2,0.184,READY
63,120 Espáguetis 480,fila_063_Esp#U00e1guetis_480.jpeg,Espáguetis,480.0,1.2,0.644,READY
225,94 Pqt Caramelos Toffee  1500.00,fila_225_Pqt_Caramelos_Toffee_150000.jpeg,Pqt Caramelos Toffee,1500.0,1.2,0.697,READY
77,136 Lata Pechuga Pollo 850.00,fila_077_Lata_Pechuga_Pollo_85000.jpeg,Lata Pechuga Pollo,850.0,1.2,0.644,READY
123,182 Malta Guajira 1800,fila_123_Malta_Guajira_1800.jpeg,Malta Guajira,1800.0,1.2,0.629,READY
116,175 Pasta Tomate Ada 650,fila_116_Pasta_Tomate_Ada_650.jpeg,Pasta Tomate Ada,650.0,1.2,0.637,READY
71,13 Cascos Moto 9000,fila_071_Cascos_Moto_9000.jpeg,Cascos Moto,9000.0,1.2,0.333,READY
187,49 Lampara de Mesa - 25000.00,fila_187_Lampara_de_Mesa_-_2500000.jpeg,Lampara de Mesa - 25000,25000.0,1.153,0.2,READY
111,170 Mayoneza 1500,fila_111_Mayoneza_1500.jpeg,Mayoneza,1500.0,1.2,0.619,READY
26,0Maquina Hielo,fila_026_Maquina_Hielo.jpeg,Maquina de Afeitar,2500.0,0.581,0.042,NOT_IMPORTED_OR_REVIEW
114,173 Mostaza 750,fila_114_Mostaza_750.jpeg,Mostaza,750.0,1.2,0.63,READY
43,105 Toallitas Humedass 1000.00,fila_043_Toallitas_Humedass_100000.jpeg,Toallitas Humedas,1000.0,1.291,0.091,READY
109,167 Caffe Mate 4000,fila_109_Caffe_Mate_4000.jpeg,Caffe Mate,4000.0,1.2,0.3,READY
102,160 Cafe Pilon 6000,fila_102_Cafe_Pilon_6000.jpeg,Cafe Pilon,6000.0,1.2,0.364,READY
65,122 Macarrones en caja 850,fila_065_Macarrones_en_caja_850.jpeg,Macarrones en caja,850.0,1.2,0.166,READY
29,0Ventilador Piso 12 Pulgadas,fila_029_Ventilador_Piso_12_Pulgadas.jpeg,Ventilador 3 en,1.0,0.571,0.006,REVIEW
108,166 Cafe La Carreta 5000,fila_108_Cafe_La_Carreta_5000.jpeg,Cafe La Carreta,5000.0,1.2,0.467,READY
89,147 Avena 1800,fila_089_Avena_1800.jpeg,Avena,1800.0,1.2,0.455,READY
64,122 Macarrones 850,fila_064_Macarrones_850.jpeg,Macarrones,850.0,1.2,0.166,READY
49,111 Frijoles Blanco 1500,fila_049_Frijoles_Blanco_1500.jpeg,Frijoles Blanco,1500.0,1.2,0.5,READY
13,06 Audifonos-gris - 7500.00,fila_013_Audifonos-gris_-_750000.jpeg,Audifonos-gris,7500.0,1.2,0.097,READY
24,0Exhibidor Vertical,fila_024_Exhibidor_Vertical.jpeg,Ventiladores de Pie,18.0,0.432,0.008,NOT_IMPORTED_OR_REVIEW
36,10 Tipo Crocs-Zapitos Azul 8000.00,fila_036_Tipo_Crocs-Zapitos_Azul_800000.jpeg,Tipo Crocs-Zapitos Azul,8000.0,1.2,0.174,READY
72,13 Cascoss 9000,fila_072_Cascoss_9000.jpeg,Cascoss,9000.0,1.2,0.333,READY
