source_row,source_title,image_file,product_name,product_price,score,gap,status
221,88 Croissant,fila_221_Croissant.jpeg,Aromatizante,2500.0,0.571,0.038,NOT_IMPORTED_OR_REVIEW
25,0Jgo Vasos Desechables,fila_025_Jgo_Vasos_Desechables.jpeg,Juego de Sartenes,13500.0,0.526,0.037,NOT_IMPORTED_OR_REVIEW
69,127 Marie Biscuit Wishfor,fila_069_Marie_Biscuit_Wishfor.jpeg,Marie Biscuet,600.0,0.706,0.273,NOT_IMPORTED_OR_REVIEW
23,0Congelador Horizontal,fila_023_Congelador_Horizontal.jpeg,Crocs Original,12500.0,0.514,0.014,NOT_IMPORTED_OR_REVIEW
3,0 Ventiladores 20 Pared,fila_003_Ventiladores_20_Pared.jpeg,Ventiladores de Pie,18.0,0.8,0.189,REVIEW
160,22 Cintas Colores Anchas Medianas y Finas - 3000.00 a 2100.00,fila_160_Cintas_Colores_Anchas_Medianas_y_Finas_-_300000_a_210000.jpeg,Cargadores C176 -C,3000.0,0.527,0.047,REVIEW
26,0Maquina Hielo,fila_026_Maquina_Hielo.jpeg,Maquina de Afeitar,2500.0,0.581,0.042,NOT_IMPORTED_OR_REVIEW
29,0Ventilador Piso 12 Pulgadas,fila_029_Ventilador_Piso_12_Pulgadas.jpeg,Ventilador 3 en,1.0,0.571,0.006,REVIEW
24,0Exhibidor Vertical,fila_024_Exhibidor_Vertical.jpeg,Ventiladores de Pie,18.0,0.432,0.008,NOT_IMPORTED_OR_REVIEW
172,34 Exhibidor Vertical,fila_172_Exhibidor_Vertical.jpeg,Ventiladores de Pie,18.0,0.432,0.008,NOT_IMPORTED_OR_REVIEW
22,0Aire Acondionado,fila_022_Aire_Acondionado.jpeg,Leche Condensada,850.0,0.562,0.021,NOT_IMPORTED_OR_REVIEW
234,Shampoo Gudlox,fila_234_Shampoo_Gudlox.jpeg,Sazon Guama,100.0,0.48,0.036,NOT_IMPORTED_OR_REVIEW
28,0Ventilador Industrial,fila_028_Ventilador_Industrial.jpeg,Ventilador 3 en,1.0,0.667,0.067,NOT_IMPORTED_OR_REVIEW
